#ZVView-data-copy:   2-Dec-2019 09:34:42
#=======================================
#
#name:   50-SN-0(N,TOT),,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  34401
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
      0.008714            0       4.4542       0.4069  # 1998,J.A.Harvey          ## 14194002  #dY:9.1%
     0.0087162            0       5.3735      0.46389  # 1998,J.A.Harvey          ## 14194002  #dY:8.6%
     0.0087184            0       3.9652      0.90225  # 1998,J.A.Harvey          ## 14194002  #dY:22.8%
     0.0087207            0       6.9917        2.533  # 1998,J.A.Harvey          ## 14194002  #dY:36.2%
     0.0087229            0        3.399       3.6064  # 1998,J.A.Harvey          ## 14194002  #dY:106.1%
     0.0087251            0       7.9761       1.6149  # 1998,J.A.Harvey          ## 14194002  #dY:20.2%
     0.0087274            0        5.182       1.3089  # 1998,J.A.Harvey          ## 14194002  #dY:25.3%
     0.0087296            0       6.8039      0.94177  # 1998,J.A.Harvey          ## 14194002  #dY:13.8%
     0.0087319            0       4.2019      0.87237  # 1998,J.A.Harvey          ## 14194002  #dY:20.8%
     0.0087341            0       4.9343      0.79902  # 1998,J.A.Harvey          ## 14194002  #dY:16.2%
     0.0087363            0       5.5167      0.78154  # 1998,J.A.Harvey          ## 14194002  #dY:14.2%
     0.0087386            0       3.7871      0.80153  # 1998,J.A.Harvey          ## 14194002  #dY:21.2%
     0.0087408            0        5.216      0.83232  # 1998,J.A.Harvey          ## 14194002  #dY:16.0%
     0.0087431            0       5.5702      0.99637  # 1998,J.A.Harvey          ## 14194002  #dY:17.9%
     0.0087453            0       6.6452      0.83443  # 1998,J.A.Harvey          ## 14194002  #dY:12.6%
     0.0087476            0       6.6494      0.78989  # 1998,J.A.Harvey          ## 14194002  #dY:11.9%
     0.0087498            0       13.658      0.87668  # 1998,J.A.Harvey          ## 14194002  #dY:6.4%
     0.0087521            0       11.185      0.85346  # 1998,J.A.Harvey          ## 14194002  #dY:7.6%
     0.0087543            0       6.2154      0.72728  # 1998,J.A.Harvey          ## 14194002  #dY:11.7%
     0.0087566            0       4.1693      0.69912  # 1998,J.A.Harvey          ## 14194002  #dY:16.8%
     0.0087588            0       4.5657      0.69142  # 1998,J.A.Harvey          ## 14194002  #dY:15.1%
     0.0087611            0       5.8477      0.65014  # 1998,J.A.Harvey          ## 14194002  #dY:11.1%
     0.0087633            0       4.2798       0.6847  # 1998,J.A.Harvey          ## 14194002  #dY:16.0%
     0.0087656            0       6.5577      0.67082  # 1998,J.A.Harvey          ## 14194002  #dY:10.2%
     0.0087678            0       4.9737      0.64332  # 1998,J.A.Harvey          ## 14194002  #dY:12.9%
     0.0087701            0       4.9373      0.68978  # 1998,J.A.Harvey          ## 14194002  #dY:14.0%
     0.0087723            0       3.5617        0.638  # 1998,J.A.Harvey          ## 14194002  #dY:17.9%
     0.0087746            0       5.1979      0.61177  # 1998,J.A.Harvey          ## 14194002  #dY:11.8%
     0.0087768            0       3.7142      0.63878  # 1998,J.A.Harvey          ## 14194002  #dY:17.2%
     0.0087791            0       3.9743      0.77396  # 1998,J.A.Harvey          ## 14194002  #dY:19.5%
     0.0087814            0       1.7315       1.3537  # 1998,J.A.Harvey          ## 14194002  #dY:78.2%
     0.0087836            0       3.4954       1.1882  # 1998,J.A.Harvey          ## 14194002  #dY:34.0%
     0.0087859            0       4.4519      0.78457  # 1998,J.A.Harvey          ## 14194002  #dY:17.6%
     0.0087881            0       3.4628      0.73995  # 1998,J.A.Harvey          ## 14194002  #dY:21.4%
     0.0087904            0        4.006      0.69907  # 1998,J.A.Harvey          ## 14194002  #dY:17.5%
     0.0087927            0       3.8565      0.70638  # 1998,J.A.Harvey          ## 14194002  #dY:18.3%
     0.0087949            0        3.868      0.75778  # 1998,J.A.Harvey          ## 14194002  #dY:19.6%
     0.0087972            0       4.3525      0.70834  # 1998,J.A.Harvey          ## 14194002  #dY:16.3%
     0.0087995            0       6.7094      0.62757  # 1998,J.A.Harvey          ## 14194002  #dY:9.4%
     0.0088017            0        3.849      0.69626  # 1998,J.A.Harvey          ## 14194002  #dY:18.1%
